"ZVarPDF_TA","TPDFMean","PVVarPDF_TA","PVPDF_TA","rhoPDF_TA","ZPDF_TA","Points:0","Points:1","Points:2"
6.36534e-03,1.50168e+03,4.74346e+00,5.59428e+00,2.28846e-01,1.94550e-01,3.94840e-01,2.13841e-02,0.00000e+00
2.57134e-02,1.42902e+03,7.82467e+00,7.16801e+00,2.21926e-01,6.14659e-01,2.04992e-01,5.71934e-03,0.00000e+00
2.74544e-02,1.49276e+03,7.27803e+00,7.44388e+00,2.13418e-01,5.82284e-01,2.04685e-01,6.55757e-03,0.00000e+00
5.24329e-03,1.90166e+03,1.05296e+00,8.92261e+00,1.71988e-01,3.75453e-01,2.27555e-02,5.73906e-03,0.00000e+00
8.21153e-09,2.94076e+02,6.96416e-06,2.85050e-04,1.19596e+00,9.78781e-06,1.00617e-01,3.00145e-02,0.00000e+00
1.93490e-05,2.95522e+02,5.16444e-03,8.15200e-03,1.05826e+00,9.99479e-01,1.94621e-02,1.58508e-03,0.00000e+00
9.48716e-06,2.94827e+02,2.56013e-03,4.36573e-03,1.06067e+00,9.99719e-01,1.91258e-02,1.43072e-03,0.00000e+00
4.05974e-03,1.21096e+03,3.38836e+00,4.03511e+00,2.86670e-01,1.38420e-01,4.33145e-01,3.00799e-02,0.00000e+00
7.30662e-08,2.94378e+02,6.20688e-05,1.36630e-03,1.19490e+00,4.69087e-05,9.78450e-02,2.34534e-02,0.00000e+00
7.88323e-08,2.94397e+02,6.69480e-05,1.45070e-03,1.19481e+00,4.98169e-05,9.88639e-02,2.32859e-02,0.00000e+00
3.20900e-04,3.07994e+02,8.61006e-02,7.80456e-02,1.01608e+00,9.94984e-01,1.07780e-02,2.72121e-03,0.00000e+00
2.52997e-04,3.04449e+02,6.77132e-02,5.89493e-02,1.02728e+00,9.96196e-01,1.09044e-02,2.64225e-03,0.00000e+00
1.88601e-04,3.01744e+02,4.97053e-02,4.32460e-02,1.03664e+00,9.97191e-01,1.08140e-02,2.57580e-03,0.00000e+00
1.74417e-11,2.94003e+02,1.49000e-08,1.34855e-05,1.19623e+00,4.61315e-07,6.00537e-01,1.14339e-01,0.00000e+00
9.74317e-09,2.94203e+02,8.06940e-06,7.67351e-04,1.19550e+00,2.67387e-05,1.77604e-01,3.36417e-02,0.00000e+00
9.09109e-03,1.43049e+03,5.93614e+00,5.35882e+00,2.38623e-01,1.90082e-01,3.26560e-01,2.39280e-02,0.00000e+00
2.19555e-03,6.90476e+02,1.56715e+00,1.62081e+00,5.16401e-01,5.76062e-02,9.30921e-02,1.40613e-02,0.00000e+00
7.04906e-11,2.94001e+02,5.98274e-08,9.84945e-06,1.19623e+00,3.38165e-07,4.13623e-01,9.36955e-02,0.00000e+00
7.63333e-03,1.81261e+03,4.32519e+00,7.54213e+00,1.86186e-01,2.71546e-01,3.72583e-01,1.08362e-02,0.00000e+00
6.00817e-04,3.28815e+02,1.73614e-01,1.90877e-01,9.54319e-01,9.88182e-01,1.35454e-02,2.88720e-03,0.00000e+00
